"id","name","email","email_verified_at","password","role","department","phone","birth_date","gender","year","major","parent_id","remember_token","created_at","updated_at"
"33","Yasmin Pfeffer","mgusikowski@example.net",NULL,"$2y$12$ROvBqUuy74zXFlt5jdvycuDAAQsB/FgUwcQNBmpJuhsoYEs6RE4nm","student",NULL,"832-619-0180","1995-06-22","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"34","Kaci Haley","xkerluke@example.org",NULL,"$2y$12$k99rmMpIWEZYuqDkKTfrSuzjn.fMenET23WdzQgz.knevFqhMWYdW","student",NULL,"+1-817-224-3754","2002-04-28","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"35","Ibrahim Beatty","dstroman@example.net",NULL,"$2y$12$chu1ySj93OVEXvI0V9wjeOC2HocfI.xvpcGLMbJKL7wCJRzXUHaRy","student",NULL,"+1-361-961-0727","2001-08-10","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"36","Josiane Doyle","bayer.dominique@example.net",NULL,"$2y$12$ZWAH8TgbdWQv9pIdF6FAou9vx.TYaanMNzWO7oYvU4afwSYrEYBkO","student",NULL,"+15204621737","2005-10-31","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"37","August Torp","hodkiewicz.esther@example.com",NULL,"$2y$12$0SXAWxDm2Pag1a13XX8GLe0JxUJ6t9sq42wZgi99RvLoDyRxaOIhK","student",NULL,"+17153371001","2000-06-08","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"38","Bailee Beatty","kellie.abbott@example.org",NULL,"$2y$12$8SRjBd05A/jrC73TSlO2kO.3hAafBc4b4vL4dpSEOIoXHvaQsFsqK","student",NULL,"1-858-991-8552","1999-04-30","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"39","Dejon Vandervort","reinhold21@example.net",NULL,"$2y$12$jBhiSeqY.ztxXdBsFOsNauPZHPISuvlCyFpoRwZLzCoLmmLnqlG2a","student",NULL,"+1-956-887-5586","2004-09-26","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"40","Mollie Ernser","kgibson@example.com",NULL,"$2y$12$NkNQCF8EiUYPUuV2vbDqouPYHRvE5HOVw8co3x8jImTDvirQ02ZM2","student",NULL,"1-318-782-4511","1999-03-20","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"41","Sibyl Effertz","christophe.mccullough@example.org",NULL,"$2y$12$iKneHShkwHfaysDhZ.sjKuCSdj/mqt0IlzZP0KfJZeLhLq1M6de6y","student",NULL,"+19175583612","2002-08-23","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"42","Nyasia Ratke","pjaskolski@example.org",NULL,"$2y$12$NZlO9WKXClmhxjBhoOkiP.vaVjSVBJKcfyRwbUeQlx9BkfB2/de0a","student",NULL,"1-925-463-1042","2002-02-28","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"43","Edgar King","okon.percy@example.net",NULL,"$2y$12$SwKsvggVLiJCE0s4QKowrODM5GeeKKpkhH0jJw8goOLIICcQhpDPq","student",NULL,"502-290-0142","2001-09-19","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"44","Stacey Hayes","kara.green@example.org",NULL,"$2y$12$ZLzJjOma8ntaVaafkIsKuuvlgfvaZ0Z0OvtIIFcq.NSjD5BdBCFNq","student",NULL,"940-358-7638","2000-11-17","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"45","Rodolfo Farrell","sydney52@example.net",NULL,"$2y$12$p2Rc7IOYrDswQF1ZLBvqwOuiMFvQP0JcgYzmfBzpeRs1NnJsV4Oui","student",NULL,"+1 (915) 814-6511","2002-01-25","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"46","Cristobal Emmerich","jakob75@example.net",NULL,"$2y$12$AFGONXR5SN7L.DrS6T8MzOoKpQh/Q4Kb.yATU.eLSU9jnFCCKgtpq","student",NULL,"737.576.0821","2007-01-17","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"47","Avis Kovacek","lola17@example.com",NULL,"$2y$12$XHDJmSywOnRpdb7qv.utUOXjS7VdaGI9rxnoywvUOc.YuD/boEcYC","student",NULL,"346.586.9463","2001-02-02","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"48","Vance Batz","greenholt.mitchel@example.net",NULL,"$2y$12$u3m9KXpeioIE9OLZ75XfR.ve/WSDOn92CPSabwijPgGqpYdLAbkZC","student",NULL,"906.761.8574","2006-05-20","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"49","Lulu Wyman","padberg.deontae@example.com",NULL,"$2y$12$ZPepzkCDkeqcnXoFbxDMOuQ/A4ly6AyJJgd3y/xxI0n7soTT3vsYK","student",NULL,"458.886.9397","2004-05-18","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"50","Emma Parker","zstroman@example.com",NULL,"$2y$12$ehnbDTNoYBh.iFn1/t2AdeTHfd8nP.iAU09aJ8eqeCNUa3/irkOPe","student",NULL,"336.599.4964","2003-05-03","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"51","Jaunita Ullrich","wyman.sarai@example.com",NULL,"$2y$12$j9BFs8l972gmR9Kfu/4RqOHmHo/QYJvR6ruk5qc7R45lFxq6zX0RW","student",NULL,"1-863-590-3756","2005-11-01","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"52","Kylee Douglas","pward@example.net",NULL,"$2y$12$XWAGpmcveX76RBxLvuyM8eS1.PJbwUr6SENzHfhEI/yZ1I2vbAVKi","student",NULL,"(781) 543-8066","2002-03-20","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"53","Michael Collier","aniya.leannon@example.com",NULL,"$2y$12$KLLJ8CMkfIUwTxkAae186Oc6BIfCYKlvqpVkxvU9Gnpu0W8uCfJf.","student",NULL,"1-330-439-5369","2004-07-11","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"54","Leta Romaguera","zschiller@example.org",NULL,"$2y$12$Bo8KG1SIWUGriD/2DQkZA.q1uPROB37FOcle7DcvW1CdzOTtOY5Ie","student",NULL,"734.981.2252","2000-05-29","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"55","Violet Satterfield","dolly94@example.net",NULL,"$2y$12$aiHD5ps3mXx8H6fxpkVBz.7PhsLDbs53R1548F7fbVam0KhmbHnbC","student",NULL,"+1 (458) 574-1092","1996-12-06","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"56","Minnie Auer","deborah54@example.com",NULL,"$2y$12$MAiTDyIjaFKlokUsk6X2dOJScylBZpdtSU.oiHw8M56bUlLPKIKhq","student",NULL,"669.770.7712","2002-01-05","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"57","Therese Legros","stan.doyle@example.org",NULL,"$2y$12$dSld8al1wf7uQiKtcnphEuAk5ZSkvw3YrMaOnVZffYGanqJiQMYOe","student",NULL,"+1.406.569.0324","1996-09-11","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"58","Bud Swift","lizzie55@example.org",NULL,"$2y$12$aZ.9/pswZgKfuPbWNQwsN.fpQmm3hor3cNTkdJAyYniv/WY6EspVe","student",NULL,"+1-678-558-5495","1999-09-04","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"59","Nicholas Kirlin","heaney.austyn@example.net",NULL,"$2y$12$4.Kja1sk.pz9JdGGuZ5DFuFuAQiyKgcWvOZ16wWD5iGyYhEO0ynpu","student",NULL,"+17698155930","1996-03-27","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"60","Abdiel Reichel","rlebsack@example.org",NULL,"$2y$12$u2iepl1l2gCpDd9jhgB67.lkdCap9ihBz84j2fdf5rzDwcyFJxJ86","student",NULL,"+1-808-394-8636","1998-07-22","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"61","Dorthy Jast","rowe.jared@example.com",NULL,"$2y$12$pVLYwP0/bYz1G3whQPvqKucn/Yt63PJGG0zyPUy5RQDpFf/041DpW","student",NULL,"+16144512064","1999-03-05","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"62","Daren Koepp","kellen56@example.net",NULL,"$2y$12$H9hEzpd4iURNpssBxiKWO.B1XQY8dCtpT2KOT4jEvozI9c7vU9GZ.","student",NULL,"351-428-3149","1998-12-28","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"63","Cicero McCullough","augustine.metz@example.org",NULL,"$2y$12$/xDAgT9wsbXjwcQ/0s0Ad.SsgYW.Wj1VWKQB.3q7KZJsyr5alsRIy","student",NULL,"+16367268013","2004-03-02","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"64","Tess Kunde","sauer.krystina@example.com",NULL,"$2y$12$dGlsK4nazXrigjHrQgq2hOsWoNsoIwPsV31jbfSeaAqiOQ5tcCNYS","student",NULL,"1-218-605-6895","2000-10-17","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"65","Winfield Yundt","erin.weimann@example.org",NULL,"$2y$12$opu.tp6xb9umqFjlOwFpDuP3nstwxZpCA25o.26AVQ31VAFP71OrS","student",NULL,"425-432-0367","2001-05-15","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"66","Connor Stokes","fkemmer@example.com",NULL,"$2y$12$GMFzECcIyqTRwLEEoUexs.83W4.b1YPNwrSKMtsKhlbPw5PwUuT0.","student",NULL,"+17403825394","1999-03-25","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"67","Easton Ratke","karianne.bernier@example.org",NULL,"$2y$12$V72AzGVPXWOAIfygUSc2N.c1Vhgqs2MhA9Wrpq7dh5K/rnXdk2QVi","student",NULL,"(689) 781-9921","1998-12-04","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:42","2025-04-29 10:57:42"
"68","Otto McLaughlin","grady.lorna@example.net",NULL,"$2y$12$3mEwDebACwSbSUjWf6ybMuWJ1jRfsVS1ShXyDOsR6wAxOWy5x5yY6","student",NULL,"1-779-408-0367","2000-05-17","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"69","Brown Jones","caleigh85@example.org",NULL,"$2y$12$mjubhz5e.qk1EQUCepPrn.cJaCFxWYbaCKBf/oNRTRE3.DDQkXe/2","student",NULL,"806.720.5692","1999-11-04","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"70","Steve Osinski","qbeer@example.org",NULL,"$2y$12$19WlK/y0eTXLCc2Gp.7DLO8YeK3hEUBKEQYGRO0hGwwaCea7xgFNy","student",NULL,"732.736.7827","2003-09-29","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"71","Webster Bauch","cruickshank.precious@example.org",NULL,"$2y$12$QsFjKtHy6zj/PlsjdnUma.va.o.8sEfaX0Kk/UnAggBttMYNt/WJ6","student",NULL,"1-801-741-8207","2005-05-26","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"72","Maxine Carroll","wiza.una@example.org",NULL,"$2y$12$X9NU2eD8AvXOvFNS4gY/zO9SN9ewQTq3yONZwxvd.jUm4NvduXbze","student",NULL,"(847) 702-0901","1995-05-27","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"73","Anais Barrows","lonny.homenick@example.org",NULL,"$2y$12$4RaldSADOVrJLL8oCY.I8.Y3o7MEJvNnSGb7fljluF6j1PpC2UYzq","student",NULL,"+1.346.490.3922","2002-04-13","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"74","Rhea Ledner","gabriella.lehner@example.net",NULL,"$2y$12$tM2GN7XwJdLrtdKIzjeNseDhKzdHRC1ZVRSiDI3idpDJEsI1IWtNG","student",NULL,"+1-272-301-4682","2003-08-11","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"75","Kane Murray","anahi06@example.org",NULL,"$2y$12$EYBF4cZnmvXYos.Ix2luK.gzNaNOuI/mmmiViUgQQa6cYjZnJ3BCG","student",NULL,"+1-219-312-4293","1998-12-16","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"76","Esmeralda Morissette","collins.xavier@example.org",NULL,"$2y$12$aR.DdUhRt1xSnIbytQawUOVvZowBQVqt.koz3b9f/XbCWfZ6Xyv1W","student",NULL,"+1-254-535-0878","2005-06-05","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"77","Vincenzo Crooks","eemard@example.net",NULL,"$2y$12$Kjq/hIC7XqaEOYasjqpQA.k9cY1PgIOVzUQtipdo2qXxpTuJhihxy","student",NULL,"267.642.4399","2000-06-25","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"78","Zita Stamm","hahn.eloy@example.net",NULL,"$2y$12$T45Ec3vPl679.TAvwGJ8EeTf5x2e0LeakVXTT0CeATcL1P459zmOq","student",NULL,"(984) 356-4687","1999-12-23","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"79","Jazmin Howell","virgie.shanahan@example.net",NULL,"$2y$12$.Ge/LAT4sILsgqygpSFPguk6nPxr4P4ik7JgKJceZB1U3AtLS56RG","student",NULL,"283-625-3342","2007-03-28","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"80","Jordy Block","alf.huel@example.com",NULL,"$2y$12$yjpPJQqAwuKtWf6fQDa7Q.eZNfOCsHiK17x5.djbf523yHOkAfxFS","student",NULL,"731.378.7803","1998-01-13","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"81","Lourdes Kuhic","mabelle19@example.net",NULL,"$2y$12$avsmA7mB8nul.7r.mgLSp.6ntYi1YbdcaniR59D35Exmt8r46X81i","student",NULL,"820.982.0453","2003-12-21","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"82","Lisette Frami","dprohaska@example.net",NULL,"$2y$12$QnMGvn2F7S1fbFe/dcBcs.o1nNjSjF59vI7tIFPOyfg98O20j44za","student",NULL,"+1-559-376-1322","1997-04-10","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"83","Gust Torp","hahn.adalberto@example.com",NULL,"$2y$12$0JphXzZjvA.Pv8BGdXP/6eahiQMe4HQ0dYY4ezbJ0A.EsKtChlwUO","student",NULL,"+1-908-348-2370","2000-01-26","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"84","Nettie Sanford","smills@example.net",NULL,"$2y$12$LASy6UcZrXd4/txD6ia6keSc2ugqXH55wgeZHwdABnW2QlK8BeKAu","student",NULL,"+1-252-805-9795","1997-01-17","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"85","Bella Boyle","muller.gladys@example.org",NULL,"$2y$12$ozWfeyK7l6rnipE.ccvyy.mOOlengcq.qWJvFTpR2gHxdwExcWWbK","student",NULL,"304-316-2381","1996-08-21","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"86","Alessandra White","lorenzo.lebsack@example.org",NULL,"$2y$12$XnXxUBKT/2G3qAWHId1ALOxM2OsDKZzoBP6iZQDX7yvLAgqYO/ybi","student",NULL,"269.332.7057","2005-04-26","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"87","Raven Gleichner","nitzsche.tomas@example.com",NULL,"$2y$12$fMsAFI2G6mGf5/g0stZtEufijUfsVPNTBiIVbpG3bM9xfkAeAZQPK","student",NULL,"+1.479.266.2917","2004-08-05","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"88","Amir Russel","ruecker.gracie@example.com",NULL,"$2y$12$AMFwOx1CUZnIUsq.2/ja/uw6CGtsSMjCCZazx06vvADvA.MzX09ku","student",NULL,"(315) 472-7711","2005-09-25","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:43","2025-04-29 10:57:43"
"89","Evie Wyman","omari55@example.org",NULL,"$2y$12$MkX8pYawSARrAiLDKywsmOrDfyG/BVcBDSx5PpBUKOwPxtUshWX8O","student",NULL,"573.472.4164","1999-12-13","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:44","2025-04-29 10:57:44"
